index,CV,KSI,NLP,ES,ML
1993,6,6,12,4,19
1994,22,2,24,2,39
1995,24,8,34,6,68
1996,29,11,40,8,72
1997,353,95,225,185,727
1998,171,76,98,95,366
1999,285,113,197,131,675
2000,456,198,400,204,892
2001,249,117,169,103,521
2002,380,209,402,132,860
2003,291,175,217,103,696
2004,593,282,607,176,1332
2005,612,271,401,205,1387
2006,438,349,519,142,1268
2007,674,439,582,247,1941
2008,563,365,747,165,1613
2009,624,366,628,212,1565
2010,677,561,1006,207,2216
2011,1176,774,1366,422,3068
2012,1310,810,1825,285,4138
2013,1844,1000,2432,756,5388
2014,1353,925,1919,382,4106
2015,1543,951,1965,398,4738
2016,2873,1709,3495,605,8210
2017,3533,1918,4343,683,10551
2018,3496,1993,5005,375,10363
